tensor(0.6487, grad_fn=<MseLossBackward0>) tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.6188, grad_fn=<MseLossBackward0>) tensor(0.0117, grad_fn=<MseLossBackward0>)
tensor(0.6529, grad_fn=<MseLossBackward0>) tensor(0.0115, grad_fn=<MseLossBackward0>)
tensor(0.6619, grad_fn=<MseLossBackward0>) tensor(0.0101, grad_fn=<MseLossBackward0>)
tensor(0.6249, grad_fn=<MseLossBackward0>) tensor(0.0108, grad_fn=<MseLossBackward0>)
tensor(0.6293, grad_fn=<MseLossBackward0>) tensor(0.0099, grad_fn=<MseLossBackward0>)
tensor(0.6620, grad_fn=<MseLossBackward0>) tensor(0.0097, grad_fn=<MseLossBackward0>)
tensor(0.6517, grad_fn=<MseLossBackward0>) tensor(0.0075, grad_fn=<MseLossBackward0>)
tensor(0.6958, grad_fn=<MseLossBackward0>) tensor(0.0177, grad_fn=<MseLossBackward0>)
tensor(0.6524, grad_fn=<MseLossBackward0>) tensor(0.0096, grad_fn=<MseLossBackward0>)
tensor(0.6063, grad_fn=<MseLossBackward0>) tensor(0.0139, grad_fn=<MseLossBackward0>)
tensor(0.6320, grad_fn=<MseLossBackward0>) tensor(0.0197, grad_fn=<MseLossBackward0>)
tensor(0.7032, grad_fn=<MseLossBackward0>) tensor(0.0178, grad_fn=<MseLossBackward0>)
tensor(0.6400, grad_fn=<MseLossBackward0>) tensor(0.0155, grad_fn=<MseLossBackward0>)
tensor(0.6273, grad_fn=<MseLossBackward0>) tensor(0.0066, grad_fn=<MseLossBackward0>)
tensor(0.6886, grad_fn=<MseLossBackward0>) tensor(0.0053, grad_fn=<MseLossBackward0>)
tensor(0.5968, grad_fn=<MseLossBackward0>) tensor(0.0127, grad_fn=<MseLossBackward0>)
tensor(0.6310, grad_fn=<MseLossBackward0>) tensor(0.0104, grad_fn=<MseLossBackward0>)
tensor(0.6581, grad_fn=<MseLossBackward0>) tensor(0.0152, grad_fn=<MseLossBackward0>)
